SiteName;Port;HostHeader;BindingInformation;CertificateHash;CertificateSubject;CertificateIssuer;CertificateExpiry;CertificateFriendlyName;CertificateStatus;CertificateType;BindingType;Server
Site_ce;8064;ce.optimedit.eu;*:8064:ce.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8064);OPT-IIS-03.optimedit.eu
Site_it;443;it.optimedit.eu;*:443:it.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_it;8065;it.optimedit.eu;*:8065:it.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8065);OPT-IIS-03.optimedit.eu
Site_production;443;production.optimedit.eu;*:443:production.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_production;8066;production.optimedit.eu;*:8066:production.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8066);OPT-IIS-03.optimedit.eu
Site_formation;443;formation.optimedit.eu;*:443:formation.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_formation;8067;formation.optimedit.eu;*:8067:formation.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8067);OPT-IIS-03.optimedit.eu
Site_achat;443;achat.optimedit.eu;*:443:achat.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_achat;8068;achat.optimedit.eu;*:8068:achat.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8068);OPT-IIS-03.optimedit.eu
Site_commercial;443;commercial.optimedit.eu;*:443:commercial.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-03.optimedit.eu
Site_commercial;8069;commercial.optimedit.eu;*:8069:commercial.optimedit.eu;DEB953044FC2D661A5904BF44EFD22985D4B4FC9;CN=opt-iis-03.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 18:17;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8069);OPT-IIS-03.optimedit.eu
